hurufKecil_fullText,cleaning_stemmed,sentiment
wacana pertemuan prabowo - megawati ketua pbnu berharap pdip tetap menjadi oposisi di pemerintahan prabowo. i. n. d. o. n. e. s. i. a. https://t.co/c6egaqvxeq,wacana temu prabowo megawati ketua pbnu harap pdip tetap jadi oposisi perintah prabowo i n d o n e s i a,negative
cerita dibalik pembebasan adiknya pak prabowo versi panda nababan.. gimana menurut kalian guys??? https://t.co/x8ro1ghkut,cerita balik bebas adik pak prabowo versi panda nababan gimana kalian guys,negative
 intinya rakyat yang putuskan rakyat yang menilai kalau rakyat tidak suka prabowo dan gibran gak usah pilih kami saudara-saudara sekalian. dan saya tidak takut tidak punya jabatan. - prabowo.,inti rakyat putus rakyat nilai kalau rakyat suka prabowo gibran gak usah pilih saudarasaudara sekali takut punya jabat prabowo,negative
usai operasi kaki prabowo dicurigai punya penyakit lain yang sudah parah https://t.co/3is2lfo1vj,usai operasi kaki prabowo curiga punya sakit parah,negative
astaghfirullahaladziiim ketika pak @prabowo membagikan foto indah nostalgia keluarga dan bu titiek merespons dengan manis: momen terbaik mas tiba-tiba ada makhluk tolol goblok idiot komen sadis begini: cerai anak homo betul-betul kurang ajar nggak tahu adab ngga punya https://t.co/4ylsy88sig,astaghfirullahaladziiim pak bagi foto indah nostalgia keluarga bu titiek respons manis momen baik mas tibatiba makhluk tolol goblok idiot komen sadis begini cerai anak homo betulbetul kurang ajar tahu adab ngga punya,negative
pertemuan tadi malam di senayan sepertinya malah menghadirkan rasa amarah pertemuan itu bukan sekadar makan malam biasa. tapi salah satunya ada upaya menjembatani agar rekonsiliasi antara prabowo dan gibran bisa secepatnya terjalin agar suasana tegang bisa cair seperti tahun https://t.co/g7sobhacgg,temu tadi malam senayan seperti malah hadir rasa amarah temu bukan sekadar makan malam biasa salah satu upaya jembatan rekonsiliasi prabowo gibran cepat jalin suasana tegang cair tahun,negative
segagah gagah nya mayor teddy dalam mengawal prabowo segarang garangnya pendukung prabowo membela dan nyebokin prabowo saat dia blunder itu semua tidak ada guna nya jika kalian semua hanya diam melihat prabowo dihina anak prabowo dikatain homo sama akun kaskus fufufafa https://t.co/chbqkhww41,gagah gagah nya mayor teddy awal prabowo garang garang dukung prabowo bela nyebokin prabowo blunder semua nya kalian semua diam lihat prabowo hina anak prabowo dikatain homo sama akun kaskus fufufafa,negative
ini beneran pak @prabowo ngga mau ambil pusing? saya sampai berharap ini hoax lho. sangat keji sadis brutal biadab kalau sampai pak @prabowo beneran ngga ambil pusing kita rakyat ngeri dengan keselamatan diri bapak 5 tahun ke depan. ingat brutus pak. bapaknya saja https://t.co/uyfigv8f8m,beneran pak ngga mau ambil pusing harap hoax lho sangat keji sadis brutal biadab kalau pak beneran ngga ambil pusing rakyat ngeri selamat diri bapak tahun depan ingat brutus pak bapak,negative
beredar kabar anies baswedan masuk kabinet prabowo-gibran gimana... setuju atau tidak nih anak2 abah? sumber: https://t.co/ngkfkzpciy https://t.co/d7pmtnddhp,edar kabar anies baswedan masuk kabinet prabowogibran gimana tuju nih anak abah sumber,negative
setidaknya @prabowo perlu hati2 nanti setelah di lantik rekam jejak orang2 oportunis perlu di waspadai . https://t.co/y3xylnsjkz,perlu hati lantik rekam jejak orang oportunis perlu waspada,negative
