id_str,full_text,hurufKecil_fullText,cleaning,tokenizing,stopword,stemming,cleaning_stemmed
1757937871485546900,Yang menang secara formal memang Prabowo-Gibran tapi yang menang secara simbolik adalah Joko Widodo. jokowi is indeed the real king; he's the most powerful man in the country. https://t.co/M0nE6Dg0gd,yang menang secara formal memang prabowo-gibran tapi yang menang secara simbolik adalah joko widodo. jokowi is indeed the real king; he's the most powerful man in the country. https://t.co/m0ne6dg0gd,yang menang secara formal memang prabowogibran tapi yang menang secara simbolik adalah joko widodo jokowi is indeed the real king hes the most powerful man in the country,"['yang', 'menang', 'secara', 'formal', 'memang', 'prabowogibran', 'tapi', 'yang', 'menang', 'secara', 'simbolik', 'adalah', 'joko', 'widodo', 'jokowi', 'is', 'indeed', 'the', 'real', 'king', 'hes', 'the', 'most', 'powerful', 'man', 'in', 'the', 'country']","['menang', 'formal', 'memang', 'prabowogibran', 'menang', 'simbolik', 'joko', 'widodo', 'jokowi', 'is', 'indeed', 'the', 'real', 'king', 'hes', 'the', 'most', 'powerful', 'man', 'in', 'the', 'country']","['menang', 'formal', 'memang', 'prabowogibran', 'menang', 'simbolik', 'joko', 'widodo', 'jokowi', 'is', 'indeed', 'the', 'real', 'king', 'hes', 'the', 'most', 'powerful', 'man', 'in', 'the', 'country']",menang formal memang prabowogibran menang simbolik joko widodo jokowi is indeed the real king hes the most powerful man in the country
1829682463418814636,jejak digital gibran menghina prabowo di kaskus kembali dibongkar netizen. penghinaan gibran sangat sadis https://t.co/mc8b0WvMtD,jejak digital gibran menghina prabowo di kaskus kembali dibongkar netizen. penghinaan gibran sangat sadis https://t.co/mc8b0wvmtd,jejak digital gibran menghina prabowo di kaskus kembali dibongkar netizen penghinaan gibran sangat sadis,"['jejak', 'digital', 'gibran', 'menghina', 'prabowo', 'di', 'kaskus', 'kembali', 'dibongkar', 'netizen', 'penghinaan', 'gibran', 'sangat', 'sadis']","['jejak', 'digital', 'gibran', 'menghina', 'prabowo', 'kaskus', 'dibongkar', 'netizen', 'penghinaan', 'gibran', 'sangat', 'sadis']","['jejak', 'digital', 'gibran', 'hina', 'prabowo', 'kaskus', 'bongkar', 'netizen', 'hina', 'gibran', 'sangat', 'sadis']",jejak digital gibran hina prabowo kaskus bongkar netizen hina gibran sangat sadis
1795826031460569132,Ponakannya Pak Prabowo sama Anaknya Pak Jokowi https://t.co/ZUhJLyHCWC,ponakannya pak prabowo sama anaknya pak jokowi https://t.co/zuhjlyhcwc,ponakannya pak prabowo sama anaknya pak jokowi,"['ponakannya', 'pak', 'prabowo', 'sama', 'anaknya', 'pak', 'jokowi']","['ponakannya', 'pak', 'prabowo', 'sama', 'anaknya', 'pak', 'jokowi']","['ponakan', 'pak', 'prabowo', 'sama', 'anak', 'pak', 'jokowi']",ponakan pak prabowo sama anak pak jokowi
1757642400716222595,prediksi sementara di @kawalpemilu_org anies: 69.19% prabowo: 27.14% ganjar: 3.67% https://t.co/DGu0nvLdh1,prediksi sementara di @kawalpemilu_org anies: 69.19% prabowo: 27.14% ganjar: 3.67% https://t.co/dgu0nvldh1,prediksi sementara di org anies  prabowo  ganjar,"['prediksi', 'sementara', 'di', 'org', 'anies', 'prabowo', 'ganjar']","['prediksi', 'org', 'anies', 'prabowo', 'ganjar']","['prediksi', 'org', 'anies', 'prabowo', 'ganjar']",prediksi org anies prabowo ganjar
1826787824278143082,LAGI RAME DI MEDSOS. BOIKOT ARTIS2 YG JD INFLUENCER JOKOWI/PRABOWO https://t.co/EMDhdleZ7h,lagi rame di medsos. boikot artis2 yg jd influencer jokowi/prabowo https://t.co/emdhdlez7h,lagi rame di medsos boikot artis yg jd influencer jokowiprabowo,"['lagi', 'rame', 'di', 'medsos', 'boikot', 'artis', 'yg', 'jd', 'influencer', 'jokowiprabowo']","['rame', 'medsos', 'boikot', 'artis', 'yg', 'jd', 'influencer', 'jokowiprabowo']","['rame', 'medsos', 'boikot', 'artis', 'yg', 'jd', 'influencer', 'jokowiprabowo']",rame medsos boikot artis yg jd influencer jokowiprabowo
1759871131383984381,Lain kali ajarkan sopan santun adab dan etika kepada ajudan anda bung @prabowo https://t.co/sMHQgUu3FK,lain kali ajarkan sopan santun adab dan etika kepada ajudan anda bung @prabowo https://t.co/smhqguu3fk,lain kali ajarkan sopan santun adab dan etika kepada ajudan anda bung,"['lain', 'kali', 'ajarkan', 'sopan', 'santun', 'adab', 'dan', 'etika', 'kepada', 'ajudan', 'anda', 'bung']","['kali', 'ajarkan', 'sopan', 'santun', 'adab', 'etika', 'ajudan', 'bung']","['kali', 'ajar', 'sopan', 'santun', 'adab', 'etika', 'ajudan', 'bung']",kali ajar sopan santun adab etika ajudan bung
1753837674144879054,Kumpulan momen ketika prabowo selalu memikirkan anies sejak debat 7 Januari https://t.co/rYWG5xTNst,kumpulan momen ketika prabowo selalu memikirkan anies sejak debat 7 januari https://t.co/rywg5xtnst,kumpulan momen ketika prabowo selalu memikirkan anies sejak debat  januari,"['kumpulan', 'momen', 'ketika', 'prabowo', 'selalu', 'memikirkan', 'anies', 'sejak', 'debat', 'januari']","['kumpulan', 'momen', 'prabowo', 'selalu', 'memikirkan', 'anies', 'sejak', 'debat', 'januari']","['kumpul', 'momen', 'prabowo', 'selalu', 'pikir', 'anies', 'sejak', 'debat', 'januari']",kumpul momen prabowo selalu pikir anies sejak debat januari
1783001408578760954,BREAKING: KPU RI resmi menetapkan Prabowo Subianto &amp; Gibran Rakabuming Raka sebagai presiden dan wakil presiden terpilih 2024. https://t.co/uMcSNruCEx,breaking: kpu ri resmi menetapkan prabowo subianto &amp; gibran rakabuming raka sebagai presiden dan wakil presiden terpilih 2024. https://t.co/umcsnrucex,breaking kpu ri resmi menetapkan prabowo subianto amp gibran rakabuming raka sebagai presiden dan wakil presiden terpilih,"['breaking', 'kpu', 'ri', 'resmi', 'menetapkan', 'prabowo', 'subianto', 'amp', 'gibran', 'rakabuming', 'raka', 'sebagai', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih']","['breaking', 'kpu', 'ri', 'resmi', 'menetapkan', 'prabowo', 'subianto', 'amp', 'gibran', 'rakabuming', 'raka', 'presiden', 'wakil', 'presiden', 'terpilih']","['breaking', 'kpu', 'ri', 'resmi', 'tetap', 'prabowo', 'subianto', 'amp', 'gibran', 'rakabuming', 'raka', 'presiden', 'wakil', 'presiden', 'pilih']",breaking kpu ri resmi tetap prabowo subianto amp gibran rakabuming raka presiden wakil presiden pilih
1756574035025240533,Suatu kehormatan bagi saya dapat hadir di tengah-tengah ratusan ribu rakyat Indonesia yang datang ke Gelora Bung Karno. Alhamdulillah kemarin kita telah menutup rangkaian kampanye pemilu 2024 dengan penuh semangat dan kegembiraan. Atas nama Prabowo-Gibran dan Koalisi https://t.co/xb6higzJNR,suatu kehormatan bagi saya dapat hadir di tengah-tengah ratusan ribu rakyat indonesia yang datang ke gelora bung karno. alhamdulillah kemarin kita telah menutup rangkaian kampanye pemilu 2024 dengan penuh semangat dan kegembiraan. atas nama prabowo-gibran dan koalisi https://t.co/xb6higzjnr,suatu kehormatan bagi saya dapat hadir di tengahtengah ratusan ribu rakyat indonesia yang datang ke gelora bung karno alhamdulillah kemarin kita telah menutup rangkaian kampanye pemilu  dengan penuh semangat dan kegembiraan atas nama prabowogibran dan koalisi,"['suatu', 'kehormatan', 'bagi', 'saya', 'dapat', 'hadir', 'di', 'tengahtengah', 'ratusan', 'ribu', 'rakyat', 'indonesia', 'yang', 'datang', 'ke', 'gelora', 'bung', 'karno', 'alhamdulillah', 'kemarin', 'kita', 'telah', 'menutup', 'rangkaian', 'kampanye', 'pemilu', 'dengan', 'penuh', 'semangat', 'dan', 'kegembiraan', 'atas', 'nama', 'prabowogibran', 'dan', 'koalisi']","['suatu', 'kehormatan', 'hadir', 'tengahtengah', 'ratusan', 'ribu', 'rakyat', 'indonesia', 'datang', 'gelora', 'bung', 'karno', 'alhamdulillah', 'kemarin', 'menutup', 'rangkaian', 'kampanye', 'pemilu', 'penuh', 'semangat', 'kegembiraan', 'atas', 'nama', 'prabowogibran', 'koalisi']","['suatu', 'hormat', 'hadir', 'tengahtengah', 'ratus', 'ribu', 'rakyat', 'indonesia', 'datang', 'gelora', 'bung', 'karno', 'alhamdulillah', 'kemarin', 'tutup', 'rangkai', 'kampanye', 'milu', 'penuh', 'semangat', 'gembira', 'atas', 'nama', 'prabowogibran', 'koalisi']",suatu hormat hadir tengahtengah ratus ribu rakyat indonesia datang gelora bung karno alhamdulillah kemarin tutup rangkai kampanye milu penuh semangat gembira atas nama prabowogibran koalisi
1744223379794907525,dua kata lucu: nangisin prabowo https://t.co/3eS2nnMm2C,dua kata lucu: nangisin prabowo https://t.co/3es2nnmm2c,dua kata lucu nangisin prabowo,"['dua', 'kata', 'lucu', 'nangisin', 'prabowo']","['kata', 'lucu', 'nangisin', 'prabowo']","['kata', 'lucu', 'nangisin', 'prabowo']",kata lucu nangisin prabowo
