hurufKecil_fullText,cleaning_stemmed,sentiment
yang menang secara formal memang prabowo-gibran tapi yang menang secara simbolik adalah joko widodo. jokowi is indeed the real king; he's the most powerful man in the country. https://t.co/m0ne6dg0gd,menang formal memang prabowogibran menang simbolik joko widodo jokowi is indeed the real king hes the most powerful man in the country,positive
jejak digital gibran menghina prabowo di kaskus kembali dibongkar netizen. penghinaan gibran sangat sadis https://t.co/mc8b0wvmtd,jejak digital gibran hina prabowo kaskus bongkar netizen hina gibran sangat sadis,negative
ponakannya pak prabowo sama anaknya pak jokowi https://t.co/zuhjlyhcwc,ponakan pak prabowo sama anak pak jokowi,negative
prediksi sementara di @kawalpemilu_org anies: 69.19% prabowo: 27.14% ganjar: 3.67% https://t.co/dgu0nvldh1,prediksi org anies prabowo ganjar,negative
lagi rame di medsos. boikot artis2 yg jd influencer jokowi/prabowo https://t.co/emdhdlez7h,rame medsos boikot artis yg jd influencer jokowiprabowo,negative
lain kali ajarkan sopan santun adab dan etika kepada ajudan anda bung @prabowo https://t.co/smhqguu3fk,kali ajar sopan santun adab etika ajudan bung,neutral
kumpulan momen ketika prabowo selalu memikirkan anies sejak debat 7 januari https://t.co/rywg5xtnst,kumpul momen prabowo selalu pikir anies sejak debat januari,positive
breaking: kpu ri resmi menetapkan prabowo subianto &amp; gibran rakabuming raka sebagai presiden dan wakil presiden terpilih 2024. https://t.co/umcsnrucex,breaking kpu ri resmi tetap prabowo subianto amp gibran rakabuming raka presiden wakil presiden pilih,positive
suatu kehormatan bagi saya dapat hadir di tengah-tengah ratusan ribu rakyat indonesia yang datang ke gelora bung karno. alhamdulillah kemarin kita telah menutup rangkaian kampanye pemilu 2024 dengan penuh semangat dan kegembiraan. atas nama prabowo-gibran dan koalisi https://t.co/xb6higzjnr,suatu hormat hadir tengahtengah ratus ribu rakyat indonesia datang gelora bung karno alhamdulillah kemarin tutup rangkai kampanye milu penuh semangat gembira atas nama prabowogibran koalisi,positive
dua kata lucu: nangisin prabowo https://t.co/3es2nnmm2c,kata lucu nangisin prabowo,positive
pak @prabowo orang ini jd menteri gak walau dia sdh menghina anda? jangan ya pak 🆘 https://t.co/bkzxionwei,pak orang jd menteri gak sdh hina jangan pak,negative
 terima kasih pak prabowo pake pose jari itu uang negara untuk bantuan ke palestina jangan dipersonalisasi seakan-akan itu bantuan pribadi apalagi pake unsur unsur kampanye bener bener artis tolol https://t.co/u7ywvsl9k7,terima kasih pak prabowo pake pose jari uang negara bantu palestina jangan personal seakanakan bantu pribadi pake unsur unsur kampanye bener bener artis tolol,positive
hakim keluhkan gaji 12 juta/bln dpr nya lansung telpon prabowo. sementara guru honorer gaji 200k/bln tak ada yg peduli . benar2 sakit negeri ini. https://t.co/giux4tltfz,hakim keluh gaji jutabln dpr nya lansung telpon prabowo guru honorer gaji kbln tak yg peduli benar sakit negeri,negative
 dirty vote benar-benar nyata https://t.co/aj5nwflow2,dirty vote benarbenar nyata,neutral
diskusi akhir pekan bersama presiden terpilih pak @prabowo https://t.co/lvm4pvvjvr,diskusi akhir pekan sama presiden pilih pak,neutral
hari ini presiden terpilih ri prabowo subianto bersilahturahmi ke kediaman presiden joko widodo di solo beliau bertukar pikiran menikmati santap siang penuh keakraban. bahas apa yaaa? @jokowi @prabowo @gibran_tweet https://t.co/6t4ukmmhlg,hari presiden pilih ri prabowo subianto bersilahturahmi diam presiden joko widodo solo beliau tukar pikir nikmat santap siang penuh akrab bahas apa yaaa tweet,neutral
coach justin erick thohir aja cuma ngejadiin tragedi kanjuruhan sebagai baliho doang tanpa ada tindakan untuk keadilan. dan tau apa? idola coach (mulyono) gak ada kemauan untuk memberantas tragedi ini. para pelaku sekarang lagi hidup bahagia di atas penderitaan 754 korban. https://t.co/8uix3auwh4,coach justin erick thohir aja cuma ngejadiin tragedi kanjuruhan baliho doang tindak adil tau apa idola coach mulyono gak mau berantas tragedi laku sekarang hidup bahagia atas derita korban,positive
tenang pak jokowi ... tenang .... saya akan selalu berada di dekat mu #prabowo https://t.co/tydqhid2qm,tenang pak jokowi tenang selalu ada dekat mu,positive
saat lihat @prabowo https://t.co/vihw0zcemj,lihat,negative
terima kasih duta besar republik rakyat tiongkok h.e. @amb_lukang atas ucapan selamat dan kunjungannya ke rumah kertanegara jakarta. bersama saya ada bobby kertanegara juga yang ikut mendampingi menerima kunjungan duta besar. https://t.co/vqm4qdxmua,terima kasih duta besar republik rakyat tiongkok he lukang atas ucap selamat kunjung rumah kertanegara jakarta sama bobby kertanegara ikut damping terima kunjung duta besar,positive
resmi: pemerintah dan tim prabowo sepakat bujet makan gratis untuk tahun 2025 sebesar rp71 triliun. wdyt? https://t.co/rvuja0y9sz,resmi perintah tim prabowo sepakat bujet makan gratis tahun besar rp triliun wdyt,neutral
alhamdulillah hari ini prabowo-gibran telah resmi ditetapkan oleh kpu sebagai presiden dan wakil presiden terpilih periode 2024-2029. terima kasih kepada seluruh rakyat indonesia penyelenggara pemilu tokoh agama prajurit tni dan polri relawan serta rekan-rekan pers yang https://t.co/qbgaonni67,alhamdulillah hari prabowogibran resmi tetap kpu presiden wakil presiden pilih periode terima kasih seluruh rakyat indonesia selenggara milu tokoh agama prajurit tni polri rawan rekanrekan pers,positive
bismillah ya allah prabowo kalah nyapres 3 kali https://t.co/rpqpbo4yfg,bismillah allah prabowo kalah nyapres kali,positive
menemani pak @prabowo dalam debat final capres. gas pak 🇮🇩 https://t.co/kxynbkagh8,tani pak debat final capres gas pak,positive
kepada pak @jokowi @prabowo di tiktok ada yang mau mode pak harto diaktifkan kembali https://t.co/xmc98ut0ri,pak tiktok mau mode pak harto aktif,positive
sebetulnya udah bosen banget nge up kelakuan kurangajar fufufafa kepada presiden terpilih pak @prabowo tapi tiap postingan seperti ini lewat di timeline rasa geram naik lagi ke ubun-ubun bayangkan orang tua dengan posisi layak dihormati seperti pak prabowo dikatain makanan https://t.co/n6xpdzo6ol,udah bosen banget nge up laku kurangajar fufufafa presiden pilih pak tiap postingan lewat timeline rasa geram naik ubunubun bayang orang tua posisi layak hormat pak prabowo dikatain makan,negative
prabowo - ahok https://t.co/dxwgbbrqtk,prabowo ahok,neutral
fix akun kaskus fufufafa resmi adalah milik gibran rakabuming raka anak jokowi pak prabowo tahan-tahan dulu ya 20 oktober hanya sebulan lagi https://t.co/bqbh5jfxnu,fix akun kaskus fufufafa resmi milik gibran rakabuming raka anak jokowi pak prabowo tahantahan dulu oktober bulan,neutral
tim pemenangan nasional pasangan capres-cawapres anies baswedan dan muhaimin iskandar (timnas amin) mengatakan hasil hitung cepat atau quick count pilpres 2024 hanyalah penggiringan opini. meskipun hasil quick count menyatakan pasangan prabowo subianto-gibran rakabuming raka https://t.co/bn3izujrzn,tim menang nasional pasang caprescawapres aniesbaswedan muhaiminiskandar timnas amin kata hasil hitung cepat quick count pilpres hanya giring opini meski hasil quick count nyata pasang prabowosubiantogibranrakabuming raka,positive
prabowo bicara ham https://t.co/2exgglohhi,prabowo bicara ham,negative
pak prabowo itu bukan tipe pendendam bahkan terhadap postingan ini https://t.co/n9uqz2gcra,pak prabowo bukan tipe dendam bahkan postingan,negative
mau beda pilihan satu hal yang ga bisa dipungkiri feed socmed prabowo memang kelihatan sebagai seorang yang merupakan penikmat fotografi. https://t.co/oinalkunb1,mau beda pilih satu ga dipungkiri feed socmed prabowo memang lihat orang rupa nikmat fotografi,negative
kalau ada pendukung 01 dan 03 enggak percaya quick count pendukung 02 jangan nyinyir ya. soalnya pak prabowo tahun 2019 juga begitu kok https://t.co/ycwr0urhpl,kalau dukung enggak percaya quick count dukung jangan nyinyir soal pak prabowo tahun kok,negative
gawat bocoran terbaru kabinet prabowo-gibran nih wkwkwk kalau kalian ngikutin ada yang naik jabatan dari bocoran kemaren a thread (for detail) https://t.co/iqwxtfjjmt,gawat bocor baru kabinet prabowogibran nih wkwkwk kalau kalian ngikutin naik jabat bocor kemaren a thread for detail,neutral
bahlil: pemerintahan pak prabowo-gibran sebagai kelanjutan daripada pemerintahan jokowi-maruf amin jadi kita harus lebih paten lagi. soalnya raja jawa ini kalau kita main-main celaka kita saya mau kasih tahu aja jangan coba-coba main di barang ini ini waduh ngeri-ngeri sedap https://t.co/hdjafoxeiy,bahlil perintah pak prabowogibran lanjut perintah jokowimaruf amin jadi lebih paten soal raja jawa kalau mainmain celaka mau kasih tahu aja jangan cobacoba main barang waduh ngeringeri sedap,neutral
kalau melihat gestur &amp; sikap prabowo prediksi saya fufufafa akan diganti entah cepat atau lambat https://t.co/cqhmkowped,kalau lihat gestur amp sikap prabowo prediksi fufufafa ganti entah cepat lambat,negative
kalo liat ini makin jelas kalo pdip mau rekonsiliasi gibran jadi cawapres prabowo dan tetap anggota pdip. kalo ganjar menang maka pdip menang kalo prabowo menang maka pdip tetep menang. siapapun presidennya juaranya pdip di pilpres 2024 https://t.co/mfy9egg8an,kalo liat makin jelas kalo pdip mau rekonsiliasi gibran jadi cawapres prabowo tetap anggota pdip kalo ganjar menang pdip menang kalo prabowo menang pdip tetep menang siapa presiden juara pdip pilpres,negative
menghadiri penutupan munas xi partai golkar jakarta convention center. https://t.co/ysiklr6ocp,hadir tutup munas xi partai golkar jakarta convention center,negative
2 periode jokowi 2 periode prabowo 2 periode gibran oke gas oke gas https://t.co/vr4yqfwfj4,periode jokowi periode prabowo periode gibran oke gas oke gas,neutral
pak prabowo subianto @gerindra anda serius memilih diam dalam situasi begini? heii...tunjukkan isi kepalamu kenapa tunduk dengan keluarga jokowi? bukannya anda itu seorang jenderal? https://t.co/k2oz9dkeia,pak prabowo subianto serius pilih diam situasi begini heiitunjukkan isi kepala tunduk keluarga jokowi bukan orang jenderal,negative
perang jokowi vs prabowo sudah dimulai dari jawa tengah baru 5 hari gerindra menyatakan irjen ahmad lutfi jadi calon gubernur jawa tengah dia langsung dimutasi ke kemendag arahnya jelas terbaca mengurangi pengaruh ahmad lutfi untuk memuluskan jalan sang anak bungsu kaesang https://t.co/fkiae3aqkp,perang jokowi vs prabowo mulai jawa tengah baru hari gerindra nyata irjen ahmad lutfi jadi calon gubernur jawa tengah langsung mutasi kemendag arah jelas baca kurang pengaruh ahmad lutfi mulus jalan sang anak bungsu kaesang,neutral
gw udah nonton full dan bisa gw simpulkan semua hanyalah hal yang menyesatkan dan memang betul apa yang dikatakan timses prabowo semua adalah fitnah gw bisa bahas satu satu tiap menit pembahasan mana yang fitnah tapi sebelum itu dengan semua bukti dibawah ini bisa dipastikan https://t.co/rpg81cjvga,gw udah nonton full gw simpul semua hanya sesat memang betul apa kata timses prabowo semua fitnah gw bahas satu satu tiap menit bahas mana fitnah semua bukti bawah pasti,negative
prabowo - gibran diputuskan tdk boleh jadi presiden dan wakil presiden oleh mahkamah internasional. https://t.co/wuehf6heqx,prabowo gibran putus tdk jadi presiden wakil presiden mahkamah internasional,negative
prabowo sedih ada tradisi menjelekkan pemimpin netizen gercep jadi penyelam handal umbar jejak digital gibran yg pernah hina prabowo stroke akun rkgbrn raka gnarly fufufafa adalah akun milik gibran raka kumpulan chat gibran di kaskus dan twitter -a threads- https://t.co/jagl2obwfg,prabowo sedih tradisi jelek pimpin netizen gercep jadi selam handal umbar jejak digital gibran yg pernah hina prabowo stroke akun rkgbrn raka gnarly fufufafa akun milik gibran raka kumpul chat gibran kaskus twitter a threads,negative
keluarga besar pak @prabowo marah besar dengan fufufafa alias samsul alias slamet? ya harus dan wajib marah besar. pak prabowo disamakan dengan binatang. dihina dengan sangat kejam. anak kesayangan dibully dengan sangat keji. keterlaluan kalau tidak marah besar. tetapi https://t.co/o4mv6hpxua,keluarga besar pak marah besar fufufafa alias samsul alias slamet wajib marah besar pak prabowo sama binatang hina sangat kejam anak sayang dibully sangat keji terlalu kalau marah besar,negative
selamat hari raya idul fitri 1 syawal 1445 hijriah. minal aidin wal-faidzin. mohon maaf lahir &amp; batin. https://t.co/soox4qts1c,selamat hari raya idul fitri syawal hijriah mal aidin walfaidzin mohon maaf lahir amp batin,neutral
 anda masih bujangan lapuk silfester matutina sayang sekali jika orang yang jadi representasi jokowi prabowo dan istana tidak mampu membedakan mana ide dan pribadi giliran diserang balik oleh rocky gerung malah ngamuk kayak preman jalanan https://t.co/dzxnpo89zj,bujang lapuk silfester matutina sayang sekali orang jadi representasi jokowi prabowo istana mampu beda mana ide pribadi gilir serang balik rocky gerung malah ngamuk kayak preman jalan,negative
presiden terpilih prabowo subianto akan menggelontorkan total anggaran rp 800 miliar per hari untuk makan bergizi gratis ketika program unggulannya tersebut berjalan penuh untuk 82 9 juta penerima. #bisnisupdate #update #bisnis #oneliner https://t.co/mdg4fk9qpb https://t.co/oz3ypbiny9,presiden pilih prabowo subianto gelontor total anggar rp miliar per hari makan gizi gratis program unggul sebut jalan penuh juta terima,neutral
dukung ganjar-mahfud ayoo..!!! gabung anies-cak imin boleehhh..!!! punya presiden prabowo-gibran ya sudah ikhlas. saya sekarang sudah sampai pada tahap gak apa-apa. ️ https://t.co/fmqgxxmasu,dukung ganjarmahfud ayoo gabung aniescak imin boleehhh punya presiden prabowogibran ikhlas sekarang tahap gak apaapa,positive
segagah gagah nya mayor teddy dalam mengawal prabowo segarang garangnya pendukung prabowo membela dan nyebokin prabowo saat dia blunder itu semua tidak ada guna nya jika kalian semua hanya diam melihat prabowo dihina anak prabowo dikatain homo sama akun kaskus fufufafa https://t.co/chbqkhww41,gagah gagah nya mayor teddy awal prabowo garang garang dukung prabowo bela nyebokin prabowo blunder semua nya kalian semua diam lihat prabowo hina anak prabowo dikatain homo sama akun kaskus fufufafa,negative
alhamdulillah telah diresmikan rumah sakit pusat pertahanan negara (rsppn) panglima besar soedirman dan 25 rumah sakit tni lain yang tersebar di berbagai provinsi di indonesia. terima kasih bapak presiden ri @jokowi yang berkenan hadir dan meresmikan langsung. rsppn ini https://t.co/if5c8kqadz,alhamdulillah resmi rumah sakit pusat tahan negara rsppn panglima besar soedirman rumah sakit tni sebar bagai provinsi indonesia terima kasih bapak presiden ri kenan hadir resmi langsung rsppn,positive
beredar bocoran susunan menteri prabowo. ini info a1 apa a0 gaes? https://t.co/cbey1x9vdj,edar bocor susun menteri prabowo info a apa a gaes,neutral
ada yang aneh pada saat pelantikan menteri baru di istana kemarin. pak jokowi dan prabowo sama² disematkan pin kepresidenan. halo @kpu_id apakah prabowo sudah resmi sebagai presiden ri ? jadi pengen tau pendapat prof @mohmahfudmd tentang ini. https://t.co/v1jnosef3j,aneh lantik menteri baru istana kemarin pak jokowi prabowo sama semat pin presiden halo id prabowo resmi presiden ri jadi ken tau dapat prof,neutral
jokowi mulyono dinasty has fallen siasat prabowo mulai berjalan mulus : ️ airin tiba2 didukung oleh golkar sedangkan kim plus sempat sepakat mendukung andra-dimyati. ini artinya partai gerindra cs akan melawan golkar dan pdi perjuangan ️ mashel widianto tiba2 ditinggal https://t.co/p78e3filf8,jokowi mulyono dinasty has fallen siasat prabowo mulai jalan mulus airin tiba dukung golkar kim plus sempat sepakat dukung andradimyati arti partai gerindra cs lawan golkar pdi juang mashel widianto tiba tinggal,negative
pertemuan tadi malam di senayan sepertinya malah menghadirkan rasa amarah pertemuan itu bukan sekadar makan malam biasa. tapi salah satunya ada upaya menjembatani agar rekonsiliasi antara prabowo dan gibran bisa secepatnya terjalin agar suasana tegang bisa cair seperti tahun https://t.co/g7sobhacgg,temu tadi malam senayan seperti malah hadir rasa amarah temu bukan sekadar makan malam biasa salah satu upaya jembatan rekonsiliasi prabowo gibran cepat jalin suasana tegang cair tahun,negative
